epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1081.69,0.8323,0.70594,0.99199,0.63565,0.50605,0.54448,0.41661,1.00167,1.01819,1.09691,0.000271611,0.000271611,0.000271611
100,1092.64,0.82952,0.70705,0.99146,0.59879,0.52538,0.54869,0.42026,1.00277,1.02922,1.09809,0.000266535,0.000266535,0.000266535
101,1103.52,0.84281,0.70713,0.99597,0.57935,0.51678,0.53426,0.41369,0.99938,1.03595,1.09618,0.00026146,0.00026146,0.00026146
102,1114.46,0.84412,0.70489,0.99085,0.61811,0.49461,0.54609,0.41499,1.01245,1.01287,1.10064,0.000256385,0.000256385,0.000256385
103,1125.38,0.83491,0.70928,0.99153,0.5605,0.52355,0.54009,0.41496,1.00788,1.02142,1.09211,0.000251309,0.000251309,0.000251309
104,1136.29,0.84105,0.70833,0.99035,0.59396,0.52001,0.55445,0.42103,1.00047,1.01811,1.09545,0.000246234,0.000246234,0.000246234
105,1147.19,0.82802,0.70424,0.99207,0.57798,0.50151,0.53616,0.41302,0.99666,1.0195,1.08686,0.000241158,0.000241158,0.000241158
106,1158.15,0.82181,0.69134,0.98587,0.58006,0.54003,0.54261,0.41553,1.00008,1.01418,1.09023,0.000236083,0.000236083,0.000236083
107,1169.06,0.8128,0.68274,0.98001,0.56909,0.5221,0.53811,0.40545,1.00343,1.00651,1.09461,0.000231008,0.000231008,0.000231008
108,1179.98,0.81797,0.6844,0.98545,0.56434,0.53926,0.54165,0.41226,0.99503,1.02072,1.09333,0.000225932,0.000225932,0.000225932
109,1190.84,0.82416,0.68757,0.98669,0.59496,0.50844,0.53363,0.40938,1.00563,1.00806,1.09835,0.000220857,0.000220857,0.000220857
110,1201.81,0.81993,0.6892,0.98659,0.60374,0.53811,0.5545,0.42055,1.00067,1.00367,1.09153,0.000215781,0.000215781,0.000215781
111,1212.73,0.81017,0.67071,0.98318,0.60835,0.52546,0.55755,0.42298,1.00184,1.00349,1.09929,0.000210706,0.000210706,0.000210706
112,1223.86,0.81661,0.67852,0.98064,0.62622,0.51384,0.55082,0.41727,0.99797,1.01305,1.09317,0.000205631,0.000205631,0.000205631
113,1234.89,0.8048,0.66997,0.97914,0.55422,0.53464,0.52827,0.40443,1.00809,1.01469,1.09478,0.000200555,0.000200555,0.000200555
114,1245.89,0.82638,0.67929,0.9822,0.57222,0.55486,0.5388,0.41076,1.00909,1.03316,1.09651,0.00019548,0.00019548,0.00019548
115,1256.9,0.80728,0.67548,0.9806,0.58515,0.52994,0.54069,0.41277,1.00065,1.00865,1.09877,0.000190404,0.000190404,0.000190404
116,1268.13,0.80686,0.66495,0.97546,0.58332,0.52817,0.53229,0.41284,0.98919,0.99637,1.08965,0.000185329,0.000185329,0.000185329
117,1279.17,0.807,0.66537,0.97419,0.56719,0.53516,0.5405,0.41781,0.99127,1.00987,1.08866,0.000180254,0.000180254,0.000180254
118,1290.13,0.79458,0.66014,0.97435,0.60041,0.53274,0.54099,0.41708,0.9937,1.00341,1.09058,0.000175178,0.000175178,0.000175178
119,1301.02,0.78749,0.64685,0.96879,0.58121,0.50686,0.53502,0.41335,0.99516,1.00139,1.09442,0.000170103,0.000170103,0.000170103
120,1311.87,0.79996,0.65758,0.97923,0.63294,0.48044,0.54316,0.41819,0.99845,1.00602,1.09353,0.000165027,0.000165027,0.000165027
121,1323.04,0.79819,0.65651,0.9751,0.55598,0.55867,0.542,0.41744,1.00135,1.00229,1.09786,0.000159952,0.000159952,0.000159952
122,1334.42,0.79762,0.65166,0.97519,0.64008,0.50868,0.54913,0.42462,0.99983,1.01901,1.09478,0.000154877,0.000154877,0.000154877
123,1345.53,0.80122,0.6504,0.96984,0.55015,0.55407,0.54224,0.4193,0.99952,1.00303,1.09696,0.000149801,0.000149801,0.000149801
124,1356.56,0.78653,0.64389,0.97285,0.60707,0.50387,0.54263,0.41883,0.99317,1.00267,1.09203,0.000144726,0.000144726,0.000144726
125,1367.65,0.79341,0.64474,0.96923,0.52987,0.54253,0.52516,0.40732,0.99034,1.00472,1.08884,0.00013965,0.00013965,0.00013965
126,1378.75,0.79694,0.64836,0.97243,0.58192,0.54385,0.54085,0.41774,0.99458,1.01116,1.09278,0.000134575,0.000134575,0.000134575
127,1389.9,0.79027,0.64958,0.97154,0.59735,0.52845,0.54782,0.42143,0.99185,1.00583,1.09158,0.0001295,0.0001295,0.0001295
128,1401.04,0.78995,0.64647,0.97368,0.65865,0.50815,0.54714,0.42252,0.98594,1.01112,1.09063,0.000124424,0.000124424,0.000124424
129,1412.21,0.79047,0.63941,0.97008,0.60679,0.50421,0.54382,0.4182,0.98673,0.99753,1.09342,0.000119349,0.000119349,0.000119349
130,1423.37,0.79191,0.63762,0.96395,0.58181,0.53927,0.54284,0.41654,0.9885,0.9944,1.08583,0.000114273,0.000114273,0.000114273
131,1434.52,0.78034,0.63293,0.96355,0.55555,0.54718,0.53566,0.41211,0.9908,1.0021,1.0907,0.000109198,0.000109198,0.000109198
132,1445.63,0.78562,0.62714,0.96545,0.61674,0.52111,0.54069,0.41524,0.99182,0.99718,1.09396,0.000104123,0.000104123,0.000104123
