epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,977.163,0.8834,0.77411,1.01165,0.59432,0.52842,0.53853,0.40672,1.00857,1.02426,1.09181,0.000342666,0.000342666,0.000342666
86,988.7,0.88093,0.76139,1.00596,0.57356,0.50129,0.53362,0.40448,1.00057,1.00323,1.08575,0.000337591,0.000337591,0.000337591
87,1000.12,0.87187,0.7572,1.00793,0.64213,0.51415,0.54945,0.40596,0.99538,1.00062,1.08125,0.000332516,0.000332516,0.000332516
88,1011.38,0.88448,0.76273,1.01177,0.6578,0.50054,0.53719,0.40045,1.00135,1.02342,1.08528,0.00032744,0.00032744,0.00032744
89,1022.79,0.87133,0.75932,1.00729,0.56318,0.51062,0.53682,0.40574,1.01372,1.03893,1.09934,0.000322365,0.000322365,0.000322365
90,1034.28,0.87065,0.75681,1.00822,0.64392,0.48978,0.5472,0.40962,1.00714,1.00476,1.08917,0.000317289,0.000317289,0.000317289
91,1045.87,0.8604,0.74581,1.00002,0.48783,0.56478,0.53186,0.40333,1.00997,1.02923,1.09107,0.000312214,0.000312214,0.000312214
92,1057.32,0.8849,0.77041,1.012,0.60813,0.50446,0.54192,0.41133,1.00274,1.00573,1.09175,0.000307139,0.000307139,0.000307139
93,1068.58,0.86718,0.74463,1.0035,0.60326,0.50696,0.53696,0.40497,0.99243,0.99941,1.08684,0.000302063,0.000302063,0.000302063
94,1079.84,0.86456,0.74494,1.00289,0.58994,0.50205,0.53981,0.40839,1.00435,1.02269,1.08988,0.000296988,0.000296988,0.000296988
95,1091.09,0.86791,0.74506,1.00341,0.58171,0.53366,0.54699,0.41896,1.00183,1.01079,1.09276,0.000291912,0.000291912,0.000291912
96,1102.5,0.86274,0.74323,1.00028,0.58506,0.53473,0.54461,0.41323,1.00112,1.00093,1.08926,0.000286837,0.000286837,0.000286837
97,1114.41,0.85489,0.7316,0.99748,0.51113,0.59501,0.55481,0.41967,1.00856,1.01057,1.09096,0.000281762,0.000281762,0.000281762
98,1125.83,0.86389,0.73848,1.00506,0.58511,0.5354,0.54674,0.41104,0.99848,0.9903,1.08573,0.000276686,0.000276686,0.000276686
99,1137.45,0.8433,0.72337,0.99585,0.55234,0.53069,0.53885,0.40812,0.98745,0.9916,1.0802,0.000271611,0.000271611,0.000271611
100,1148.79,0.84895,0.72327,0.99818,0.54525,0.54537,0.54455,0.40968,0.99988,1.01296,1.09188,0.000266535,0.000266535,0.000266535
101,1160.05,0.8544,0.71981,0.99881,0.62727,0.48934,0.53746,0.40763,1.00993,1.02249,1.09366,0.00026146,0.00026146,0.00026146
102,1171.31,0.853,0.71391,0.99329,0.58868,0.52001,0.54232,0.40894,1.00199,1.01547,1.08965,0.000256385,0.000256385,0.000256385
103,1182.54,0.84687,0.71698,0.9967,0.62534,0.50439,0.53895,0.40675,1.00057,1.00901,1.09041,0.000251309,0.000251309,0.000251309
104,1193.76,0.85364,0.72196,0.99541,0.58887,0.53983,0.5444,0.41097,1.00171,1.00461,1.0921,0.000246234,0.000246234,0.000246234
105,1205.39,0.8461,0.71894,0.9984,0.5839,0.51768,0.54358,0.41222,1.00167,0.9986,1.09236,0.000241158,0.000241158,0.000241158
